sentence	sentence_id	locale	reason
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	grammar-or-spelling
Og hvad sagde denjeg kan se mig selv	04f0ea898127aec37fc6ac84a3eb5437caa825e8ab4d7a822f028de50a70be04	da	grammar-or-spelling
Patientinddragelsesudvalget består af medlemmer, som er udpeget af patient- og pårørendeorganisationer	013d1e4ee428d393d58009b868fa6a650147d09ae7b8ffd14d3321d73e2f1318	da	grammar-or-spelling
den fornam det ikke, men klokken i menneskets bryst fornemmer sin trange tid.	0e59a16fbba37215375b41798c837b6123bd135f03c78a4e4ee774922aa6a3ec	da	grammar-or-spelling
Det dr er prægtigt	023e3c6791c6d008478c747eabaa251b1109c920ef2aa5e09b33ae1e4334738e	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Må jeg have lov at være i mit eget nu lugter jeg kål	1508c41b7f104ffd4747bc3c55a528b1e26adc46209103e1bc873fa4ebb331ef	da	grammar-or-spelling
Og ville det være ønskeligtpeer besluttede aldrig at gifte sig	0b487656a57b6400e6a7a6aafd0ade8856d347b084397d7d614ce28fc1d942b2	da	grammar-or-spelling
Nu skal du se, hvor vi to godt skal komme ud af det	1c169819fd6866b81e942018528641628e507667fdd00e3f448306b354a1e6a3	da	grammar-or-spelling
Og ville det være ønskeligtpeer besluttede aldrig at gifte sig	0b487656a57b6400e6a7a6aafd0ade8856d347b084397d7d614ce28fc1d942b2	da	grammar-or-spelling
Det dr er prægtigt	023e3c6791c6d008478c747eabaa251b1109c920ef2aa5e09b33ae1e4334738e	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
De små fugle i buskene fr forskrækket i vejret	2a2bc97aafc1f144d2c9d8fda1866b590bdd9c1dd0a26543406900d406fb1903	da	grammar-or-spelling
Den lille havfrue Eventyr	029b568a25a1156d899dd2d6f351e1d551cd459b061bb9988f3a4a26f2a05cca	da	grammar-or-spelling
Ene og viljedvask levede derinde sølle rasmus, som de kaldte ham	22ac00ec10dc432eec797dae35d2fb2ab819d5c105076be0cb9571e1ca9804bf	da	difficult-pronounce
Hvad ville der dog ske både tjenere og frøkener gik og pyntede det	161d98d3ec90190e4fb9d2c0e922cd247a4b1a30fa94faddddf697e22a702b7a	da	difficult-pronounce
Hvad mon der er på færde hør, hvor det summer	3464bcfe38d53f00feb91a48cab8cc8aa4233a7a04811a0a1a9f426e4473c494	da	grammar-or-spelling
Hvad mon der er på færde hør, hvor det summer	3464bcfe38d53f00feb91a48cab8cc8aa4233a7a04811a0a1a9f426e4473c494	da	difficult-pronounce
er end min bøn til Gud	02abf7a09b98af18f57da3dcca861487bc2e50554d087a1f6c0565283ade70aa	da	difficult-pronounce
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
justitsråden løb det iskoldt ned af ryggen.	2c075b25da1278e9199611d91d3b6854d411f4a897f4c9254a7aec0af4707a5a	da	grammar-or-spelling
Men hvilken af demdet skal jeg få at vide	1d44483adcb080a968fec8347ed87f0bd755a56a2d4e3a4601b28b9c27ec9731	da	grammar-or-spelling
Siden tog jeg palle dyre	2b72205cee1c69399570c5e11626184dc532f5bde3a43f50e575c0cbeb950bf3	da	grammar-or-spelling
Snedronningen eventyret eventyr af hans christian andersen h	3285e1fcf9e33dd1554cf6fd67ef38fabce269c5040f70650baec8c7265b984e	da	grammar-or-spelling
Lørdag trådte op som gammel husholderske med kost og renselses-attribut	074055d0910ab6a2a6081ead4cb1bd7db7b0f8dcb356790de08b1b88a94ee133	da	grammar-or-spelling
Læs det højt, at jeg kan høre om de forstår min skrift	26ae6f63af59d7e326db44b29e265cd9cdfd627012e12c0d3ae55e013c93b400	da	grammar-or-spelling
Andersen - stemmer mosterdu skulle have kendt moster	032178edb38720a06290b26212cb478368c30283c3eb2b85441acb8c0ded11af	da	grammar-or-spelling
Hvem kan være smukkere, end I, men roserne rystede med hovedet og sagde.	0201abbc8292df36d4578f15b605b0983d1bc2859f0b7e59975c997074175b8d	da	grammar-or-spelling
Og om lotte-lene har den sagt	31506d7c528e2d8a75faa0e21f1ab3ce8f53939f05242b39e12478b4477a2234	da	grammar-or-spelling
Moster eventyret eventyr af hans christian andersen h	1dcff7b302a33882da1c995a607330fa94da7dcc6aa4792377d171a156787a13	da	grammar-or-spelling
Hvor du har været lykkelig	1d1751d11cbd3ad595479c7d7bce5f62e63f6168873503d1a6262ca6974c537c	da	grammar-or-spelling
Ida forstod, at broderen råbte til hende; men hun kunde ikke opfatte hans ord.	1a0d7a499f9a51c913931c5f057ce8292fdc4e11729185e89d62de9c6252660a	da	grammar-or-spelling
sagde de, og så var væddemålet gjort.	2f8fda525bad1af18bf8ea71bc7b9a4b45fa0328f5d1e2d95598cdbcf76f6cdb	da	grammar-or-spelling
Det vil sige ind i naboens loge, gelænderet var for højt	1c3cd3055f70af533173ca6890bb53b5cdf7718669afb9fbf5a28995b8429a31	da	grammar-or-spelling
Hvad er dog den ting, og hvad er den ikkeja, det var spørgsmålet	255c8347ace0a72e3f33756094724d97898f6878cf824acc8d2ce1c1bb1d75a6	da	grammar-or-spelling
Verden kalder hende Den Mediceiske Venus.	2b5140e1500185210c37fdf801e660a550e0b2100212ae05f7b2af0e714642a0	da	difficult-pronounce
Nej nu med halsen og sig	34bd9e552cdcda990918ad0948ba8281b5ed903f234bbcb93303e0cb8e76d57d	da	grammar-or-spelling
Den lille havfrue Eventyr	029b568a25a1156d899dd2d6f351e1d551cd459b061bb9988f3a4a26f2a05cca	da	grammar-or-spelling
Derfor nærmede det sig til det, og lyse formodninger vaktes hos lyset	3351d439371758a25efc28c486ebe9ba299b28ec34e199c61e7affe5c575a875	da	grammar-or-spelling
Men lidt efter kom igen hans venlige smil og da de ord	335294f1d493915df7cd1fd88b3775f3ccf8116609ee66d18187f9e0a2ff1ed9	da	grammar-or-spelling
end jorden, som de kaster på din kiste!	301dacd8a9abb1ff8d6a257de7f1538c2c04f8087077140f23aafa8b6bfd3d04	da	grammar-or-spelling
min egen skæbne, kunstens, land og riges	291f67c5eff1f0d1c9e410a5200b7d190b5923a3a9a635a8602318aaeecc62d0	da	grammar-or-spelling
Ude i nyboder har de et bedre navn til hende, der kaldes hun	32c008d5f0775b47109d76574b95767fa15c9e2403bfd460536ca6b1f9f1b870	da	grammar-or-spelling
Charlot løb ikke omkring.	2910f9d33f448f2b60894d594f7c2475d87d6bbf8c81f07ceddbed32afecd2e3	da	grammar-or-spelling
Det var mor søren, færgekonen	1f74909e64ca52c2dc7cad48c32f6abef46ee604f7a3a6f73188cb93a79b9326	da	difficult-pronounce
Det kjendte lyset bedre, end tællelyset kjendte sig selv	34cd98c622d263fb6244961e28ed7efd5ffea9ab525321f8ae0925bbb15eaefb	da	different-language
Hvad er dog den ting, og hvad er den ikkeja, det var spørgsmålet	255c8347ace0a72e3f33756094724d97898f6878cf824acc8d2ce1c1bb1d75a6	da	grammar-or-spelling
Lille Claus og store Claus Eventyr	2a069d4a9c7b65a5b4b253eab4a013b6a322ad6f7a635e2d863d00488f15ba0b	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Desværre kan svampefiskeri imidlertid ikke på nuværende tidspunkt medtages i aftalen.	09ccf038c4dbb1e1b8b5ffd1386d39510282d4165fc4b69ee7af6fdae7a7fd5c	da	"Tror ikke at ""svampefiskeri"" er et ord"
Den væsentligste overførselskilde var heteroseksuel kontakt, sådan som kommissæren sagde.	13eb216d212af49967aec68f95f959e8287c24052f7806d5f7406e2cefad6b3d	da	Sætning giver ikke mening 
Alkohol er særligt farlig i andet og tredje kvartal.	13aaa5d89f7fc6e30fbe5744de851af05e2fc5c611e0401d676ed75ace7837da	da	Sætning giver ikke mening 
Viola for de betænkninger, de har udarbejdet.	127cff59421686a5b5652b20e581d3de6b374c9bfa10babfd213cb51c95e8ef7	da	Sætning giver ikke mening 
otte	07ac11cddfc094501de7284b3b11f5b1f7217db5fcde123e4cd5037c87dcfdda	da	Den går ikke videre hvis man tager det via telefon
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	grammar-or-spelling
Balfe samme dag gav tilladelse til medlemmernes medarbejdere til at gøre dette.	04050871ff11c2b463a53af84ac9b07c24ead2ee61847f35b92cf35fc10969a8	da	grammar-or-spelling
Grantræet eventyret eventyr af hans christian andersen h	033323eeefc05b3f47849e764922e5aba962252adac332587a0ec9904d59a07d	da	grammar-or-spelling
Derfor bringer jeg dette emne på bane.	0335260e94f0883e9cf55d0e54fcc6c7a64d4f9e757172ff715bf2de9e442b7c	da	grammar-or-spelling
Den uartige dreng Eventyr	30340e1489dddc7e304514486895f3fe58f424128d45af13e3628de153bde07f	da	grammar-or-spelling
Derfor har de gjort en stor indsat i de forløbne år.	37046fa3a2f649d9ce2b668bd5f8043b9f9da98b6cdcf8390e2677aaa8c660e7	da	grammar-or-spelling
I år blev der her opdaget en gigantisk bedrageriring.	194eadcef43f8234a3f141854c95573cda5b6f5d63cf34cb4d2d051608f68daa	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Diskrimineringen og undertvingelse af kvinder har rod i selve islams hellige tekster.	3b0c080a096dcdad517fdf6eacc9cbe20ba3bb323dd0bff0018efdb708381bc5	da	offensive-language
Kvinder, der er i behandling med antipsykotika, skal undgå at blive gravide.	2629d48871fa00a058f85a6e1bad329555b53cc18b6b9a4763a5c352592e23e2	da	offensive-language
Et rent Talent.	3bf2640a2a67c69a008f594ccd3fd1c301736227c2ad2c696f6855f00581a28c	da	grammar-or-spelling
Sars er desværre kommet for at blive.	3b1f321824aebbf3ca10883a7f9560bf72e80c5f91185bd7b37f00db28ee95a0	da	grammar-or-spelling
Datteren else var som den dejligste blomst at se, og hun lo altid	44dee4a637a3c8f7ce03b5eca7b20097721758a6a2957e18d9328c80c2cdd901	da	grammar-or-spelling
Grantræet eventyret eventyr af hans christian andersen h	033323eeefc05b3f47849e764922e5aba962252adac332587a0ec9904d59a07d	da	grammar-or-spelling
Du gode gud, jeg takker dig,at du igen har mættet mig	49107d461d033a7fa7182c6fbcb5740a5af5115af0154da9cbfab3b2f5dc1c16	da	grammar-or-spelling
Således kan overlapninger eller afvigende strategier undgås, og et optimalt rendement kan opnås.	35e5d066fea566279506aa5e111606b5896d038e653af500c715d23bc36a34cc	da	grammar-or-spelling
Det er særligt tilfældet for medhjælpende hustruer i private erhverv.	407e76076d84e2575f1f011b25f0780c5852132a5bd28fcc1719e9d057e783be	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Oldefar eventyret eventyr af hans christian andersen h	500f3dbd3a0e0974a1508766867a108531c1fb5b3c6c65f0ffa985bb902cacda	da	grammar-or-spelling
Det er jo det problem, vi i stigende grad blamerer os med!	33bde93a82977950d95ecacb5db030ba56113a657ad8c71241530a537426bc2a	da	“Blamerer”? 
en lidse fik jeg igennem mig, blev en slags medalje at bære.	4da4cd6ae1b418f7466a597ed60f49423f756b06fcfbdd3db65132f6cd3683ee	da	grammar-or-spelling
Krøbling-hans kan jo ikke gøre det	460be6043d3525bd4f430abb28258e0b63b7bcfefcee793b2a35fcb1148532e6	da	offensive-language
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
en lidse fik jeg igennem mig, blev en slags medalje at bære.	4da4cd6ae1b418f7466a597ed60f49423f756b06fcfbdd3db65132f6cd3683ee	da	grammar-or-spelling
Stemmer kometenog kometen kom, skinnede med sin ildkerne og truede med sit ris	4f65c4e7d5490ac199314bcf7f400d7e1ddd25560dbd001cf827f1e8411349f4	da	grammar-or-spelling
Stemmer kometenog kometen kom, skinnede med sin ildkerne og truede med sit ris	4f65c4e7d5490ac199314bcf7f400d7e1ddd25560dbd001cf827f1e8411349f4	da	grammar-or-spelling
Stemmer portnøglenhver nøgle har sin historie og der er mange nøgler	5657c33c978a0d1902886f78d2dc6b28b45e847f4cb56a1e184c5f8ddbedac87	da	grammar-or-spelling
De små grønne eventyret eventyr af hans christian andersen h	5d98e2d269f5ef1a6c5e037eac9b8b935e70429c22ad8967abd4d18e6117fb65	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	not a danish word
Stemmer kometenog kometen kom, skinnede med sin ildkerne og truede med sit ris	4f65c4e7d5490ac199314bcf7f400d7e1ddd25560dbd001cf827f1e8411349f4	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Springfyrene eventyret eventyr af hans christian andersen h	60219b658ad515b65606cbbb1afa2caba2363c818a1507d9e059b0a9487c8b22	da	grammar-or-spelling
Loppen og professoren eventyret eventyr af hans christian andersen h	63775f98046c3e26324492c77626f371c5e9e22e63322f5e577b7c1831682976	da	grammar-or-spelling
Stemmer kometenog kometen kom, skinnede med sin ildkerne og truede med sit ris	4f65c4e7d5490ac199314bcf7f400d7e1ddd25560dbd001cf827f1e8411349f4	da	grammar-or-spelling
Råhuset står færdigt, lad os gøre det beboeligt.	4be744a52997e91100acf0be217545b2026153d6d58e1cf09a2c6abc3207aecd	da	grammar-or-spelling
Springfyrene eventyret eventyr af hans christian andersen h	60219b658ad515b65606cbbb1afa2caba2363c818a1507d9e059b0a9487c8b22	da	grammar-or-spelling
Jeg mener derfor, at der stadig er enorme mangler i denne henseende.	4fab87226d9e8a97f20b7bd728b2d54e584e79e7e164c3349dcc0c2892c1b238	da	grammar-or-spelling
Der er tydeligvis spørgsmål, som skal behandles, og nogle er mere følsomme and andre.	62df8df4c225259803b2c7c8095781f2efcf6132dbf725f56f4c41c61b218346	da	grammar-or-spelling
Laserne eventyret eventyr af hans christian andersen h	683df1761ba93fe897693de4d64fd55db055e2b98615d85d9c6d5272a82f30b3	da	grammar-or-spelling
Prinsessen på ærten Eventyr	66a1b289f454d92b6f5da98be0ad6150c7776bd3080421a48e192dde872267a2	da	grammar-or-spelling
Oh, den kakkeovn drømmer jeg endnu om.	63444b74009211823bbf7a504dcd13c2fd1862a6e64fa706a69d43a06c336054	da	grammar-or-spelling
Tællelyset eventyret eventyr af hans christian andersen h	5a58547aee20c1198fb3cbc1f4d11eda0eeb30771648ae583ad06f91bdf20878	da	grammar-or-spelling
Lægemiddelstyrelsen har ikke hermed adgang til vaccinationsoplysninger om den enkelte borger	71ff568be1ea9c8acdaa05ee19e87c520ffbee4fa9c1c2fa8421c43f2ccaef3f	da	grammar-or-spelling
Det kunne peer aldrig have udført eller hengivet sig til	7018c85f749d5c016466556e070cfd382c6b7a8be152aff2c900b3e4d70fcfd0	da	er det med vilje peer er der?
Springfyrene eventyret eventyr af hans christian andersen h	60219b658ad515b65606cbbb1afa2caba2363c818a1507d9e059b0a9487c8b22	da	difficult-pronounce
Forstår de hvad det erforstår	504700e16fb214144b74cbc5cc0e90f62cff853962c829a9aef04e3449781613	da	grammar-or-spelling
Hvad man kan hitte på eventyret eventyr af hans christian andersen h	4f7527aac88127c20b3aef7415e4e5d0c7ae804d7b2810f949beea9417b00c5e	da	grammar-or-spelling
Ved du, hvad han sagde sandt var det, hvad han sagde	4fe281235606901c79323e60f42b00149bb045286bb3fb483772e06dd466354a	da	grammar-or-spelling
Laserne eventyret eventyr af hans christian andersen h	683df1761ba93fe897693de4d64fd55db055e2b98615d85d9c6d5272a82f30b3	da	grammar-or-spelling
Elverhøj eventyret eventyr af hans christian andersen h	60aadd3a4a1e2451982909ba7c752833e657ebaa4d0dabd5a2a35bc369f0bf2c	da	grammar-or-spelling
Det gyser i n	6f77feee3f9d5539130e24bb56694e466e1efb5187059760118df29005e8e89c	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Jeg er derfor en arg modstander af kernekraft, når den praktiseres på denne måde.	787361c451db9740ef67ee2c1fd0ae08c3abc1e1e4e597f6d87a5e7b5680bcbb	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Elverhøj eventyret eventyr af hans christian andersen h	60aadd3a4a1e2451982909ba7c752833e657ebaa4d0dabd5a2a35bc369f0bf2c	da	grammar-or-spelling
Jeg kommer gesvindtere til mit havkvæg!	76fff2ed1e48c3719b28dd646935d17639e0d3b4dd7e6da56fd41b830482a46d	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language
Den var et lille hul inde under kornstubbene.	7657c584805e3681aa406b6077e38cba561eda4c8cec2cca166d421e1669dfd7	da	grammar-or-spelling
Ja midt i blomsten selv voksede frem ligesom et lille forkrøblet grønt blad	77a94d5eb017debdf2da67d387fdab46efff415a964640b7c00b7ecbab261f16	da	grammar-or-spelling
tree	254e7ac54d0fc8767917807776c78f0eb8849d8a3d59fe29100645fa7d53ed66	da	different-language